year, rcp45_weighted_mean, rcp45_min, rcp45_max, rcp85_weighted_mean, rcp85_min, rcp85_max
2005,16.9,0,41.2,16.9,0,41.2
2006,18.2,0,73.9,16.8,0.1,47.4
2007,18.7,0,41.3,17.6,0.1,40.7
2008,15.6,0,40.2,20.4,2.6,87.2
2009,19.5,0.7,60.6,17.4,0,44.9
2010,13.2,0,44.2,17.6,0,40.5
2011,22.4,1.6,45.7,18.6,0,44.5
2012,20.9,0.2,51.7,17.2,0,51.6
2013,27.3,0.7,76.4,23.3,0.4,64.2
2014,21.9,0.5,68.4,23.4,0.6,50.6
2015,19.7,3,57.2,23.8,2.3,60.4
2016,24,0.3,52.2,21.9,0.9,51.6
2017,24,0.3,62,21.8,0.9,52
2018,20,0,50.6,20.8,1.4,49.7
2019,22.7,1.1,60.5,27.2,0.7,62.4
2020,23.5,0.3,62.4,21.1,0.9,56.6
2021,21.7,0,56,26.9,0.1,52.6
2022,29.1,0.1,70.2,28.6,0,60.4
2023,33.7,7.6,81.2,27.8,6.7,58.9
2024,25,0.8,65.1,25.9,0.4,84.4
2025,27.7,0.8,68.6,29.5,0,69.5
2026,33.7,2.2,61.3,29.4,0,57.1
2027,26.7,0,68.9,29.2,0.2,62.9
2028,26.9,0.7,82.1,29.6,1.9,64.4
2029,29.5,1.8,81.7,29.3,0.9,55.6
2030,36.7,0.2,93.2,29.1,0.9,70.4
2031,29.5,0.8,83.9,33.4,1.2,89.8
2032,29.4,0,91.7,33.7,2.6,75.9
2033,32.6,0.2,98.1,36.6,4.4,73.6
2034,39.5,7.1,79.1,31.3,1.2,76
2035,38.4,3.9,90.8,36.9,3.1,82.3
2036,34.5,0.1,76.6,38.7,4.6,72.2
2037,32.5,2.1,69,36.7,11.2,77.3
2038,31.5,2.5,66.3,37.3,1.2,89.6
2039,40.1,4.9,96.8,40.8,4.9,70.4
2040,32,1.7,75.6,40.8,4.5,82.4
2041,35.3,3.8,78.4,36.1,5.3,76.9
2042,43,12.7,95.4,42.1,0.1,90.1
2043,33.7,0.4,88.5,39.2,1.4,77
2044,33.4,3.9,85.7,46.8,2.9,94.4
2045,42.2,2,96.5,42.3,3.9,90.9
2046,39,0.8,90,45.6,4,90.2
2047,37.5,4.1,98.8,44.3,9.6,89.8
2048,35.3,4.4,66,42.8,2,85.2
2049,41.3,4.4,78.5,54.1,15.8,112.2
2050,40.9,4.2,86.5,54.3,8.7,92.4
2051,37.6,8.1,76,53.1,4.4,89.3
2052,41.4,2.8,103.5,55.4,13.7,99.3
2053,41.6,2.2,82.2,58.3,17.3,106.7
2054,32.2,1.8,72.6,48,12.8,87.8
2055,45.8,3.9,78.8,49,3.4,88.9
2056,45.1,2.7,82.3,53,10.7,106.3
2057,44.6,6.6,118.8,53.1,3.6,94.6
2058,40.9,1.2,90.7,57.7,5,103.1
2059,46.8,10.8,100.9,59,12.6,103.3
2060,46.7,13.8,79.5,62.6,17.6,109.2
2061,43.1,5.8,87.7,66.3,18.4,114.2
2062,47.2,2.1,93.2,61.3,14.3,110.5
2063,44.7,0.9,80.2,58.2,9.9,117.1
2064,49,1.9,85.4,69,9.7,134.4
2065,45.2,7.9,105.1,69.6,15.4,112.8
2066,41.4,0.5,97.5,68.2,4.2,96.7
2067,48.6,11.8,109.2,69.5,11.8,119.6
2068,45.9,7.8,84,69.4,28.4,111
2069,50.9,0.3,95.5,73.2,2.8,152.1
2070,50.2,13.8,88.5,78.9,24,146.5
2071,44.7,3.8,94.5,81.5,18.6,119.4
2072,57.7,2.5,112.9,83.5,21.8,135.3
2073,42,1.6,104.7,81.6,19,134.3
2074,48.2,3,107.3,80.2,20.6,135.2
2075,57.8,3.2,111.2,80.9,51.1,133
2076,53.7,5.1,111.4,78,21.2,132.9
2077,51.5,13.3,93.4,82.8,21.1,131.2
2078,50.7,14.3,117.2,81,14.4,124.1
2079,49.5,3.4,92.5,86,25.9,133.3
2080,54.2,7.8,98.3,84.7,27.7,134.6
2081,52.6,5.1,113.4,88.7,21.6,153.5
2082,51.2,12.9,98.1,85,28.5,135.9
2083,52.6,16.9,89.3,94.3,13.9,130.1
2084,45.9,5.2,95.8,85.1,10.4,136.2
2085,51.4,5.7,115.1,95.7,36.3,144.7
2086,53.2,4.1,102.1,95.6,41.4,143.7
2087,56.4,13,113,92.2,24.7,142.9
2088,52.3,11.2,100.9,90.4,14.9,143.3
2089,56,7.7,122.4,93.8,28.8,135.8
2090,52.8,8.9,109.2,100.5,40.3,153.4
2091,52.9,0.9,106.1,94.3,34.2,134.8
2092,55.7,11.9,91.2,104.8,25.6,145.4
2093,52.8,0.7,109.5,94.6,35.1,139.1
2094,51.2,2.3,103,108.3,69.5,151.7
2095,54.2,9.9,121.2,104.2,30.8,153.8
2096,52.4,10.8,108,102.6,40.7,149.3
2097,47.8,2.5,100.9,96.5,25.9,162.6
2098,52,2.2,120.8,110.7,59.3,150.3
2099,52.8,8.9,113,102.1,50.1,161.6
