year, rcp45_weighted_mean, rcp45_min, rcp45_max, rcp85_weighted_mean, rcp85_min, rcp85_max
2005,247.7,201.6,277.4,247.7,201.6,277.4
2006,249.6,204.3,292.6,249.6,207.2,292.5
2007,250.9,211.4,274.8,250.6,195.4,277.8
2008,243.7,201.5,275.3,244.7,206.7,274.7
2009,243,182.3,277.6,241.6,202.2,275.2
2010,236.7,209.5,292.1,245.7,184.9,284.2
2011,253.1,219.1,285,248.5,211.4,286.6
2012,244.5,189.4,285.1,242.7,210.4,287.4
2013,249.6,202,287.2,248.9,215.7,286.8
2014,243.3,211.4,288.2,247.4,179.7,273.9
2015,242.1,195.2,286,247.3,217.8,279.7
2016,256.8,214.8,293.6,249.2,224.2,275.9
2017,247.1,200.6,289.3,249.2,215.4,298.9
2018,244.6,205.7,279,254.4,206.9,284.5
2019,246.4,189.6,286.9,252.6,217,290.3
2020,247,212,290.1,252.6,207.4,292
2021,245,215.8,278.8,249.1,185,284.1
2022,253.5,190.6,297.1,250.1,208.9,298.9
2023,252.5,181.9,286.6,252,214.6,282.7
2024,248.7,221.4,282.3,247.3,209,310.1
2025,245.7,206.4,286.8,247.4,186.2,294
2026,252.3,194.2,283.1,249.7,188,291.7
2027,247.5,213.4,281.7,249.1,209.5,285.7
2028,248.4,210.5,287.7,251.8,217.7,287.5
2029,250.8,214.4,285.5,246.1,204,282.9
2030,251.3,200.4,292.6,257,217.2,309.3
2031,247.9,212.9,281.3,255.4,223.5,298.4
2032,247.6,214.5,285.3,249.3,204.6,296.6
2033,250.8,211.8,287.4,251.7,218.8,288.2
2034,256.3,207.3,292.8,250.1,208.3,298.1
2035,259.4,226.6,293.4,257.5,204,319.1
2036,248.8,213.6,286.4,254.5,227.8,295
2037,247.2,213.7,283.8,252,220.4,291
2038,248,218.5,286.1,248.6,207.3,286.1
2039,258.4,215.6,291.8,256.6,199,295.8
2040,250.7,201,307.3,250.8,222.8,289.9
2041,251.2,219.8,297.6,247.6,210.2,284.7
2042,256.7,215.6,284.5,251.9,218.9,294.7
2043,250.8,216.9,335.7,250.2,219.7,289.6
2044,245.1,211.6,300.2,252.3,201.6,296.1
2045,252.3,206.5,303.5,251.3,194.3,285.7
2046,257.3,225.1,308.2,248.6,187.4,320.5
2047,253.7,213.6,302.7,254.9,212.9,295.4
2048,247.4,197,282.5,255.1,218.7,301.8
2049,252.3,196.3,297.6,257.9,202.5,303.7
2050,251.9,208.4,296.2,253.8,198,297.2
2051,251.8,214.8,288.6,256.7,188.8,307.3
2052,251.6,220.2,289.6,258.3,209.7,306.5
2053,250.4,187.2,285.8,258.8,221.3,302.5
2054,242.6,206,294.6,252.3,201.3,296.1
2055,258.8,205.8,288.3,250.7,191.5,286.4
2056,251.6,194.3,308.2,250,217.6,298.8
2057,252.5,216.3,300.7,250.7,206.6,289.7
2058,252.8,202.4,309.8,254.9,210.3,299.2
2059,256.2,228.7,304.5,258.1,218.3,296
2060,255.3,216.8,292.2,259.6,200.3,308.7
2061,247.8,205.7,303.6,257.3,228.1,299.7
2062,252.7,214.3,306.7,252.4,204.4,291.9
2063,250.6,206.6,294.7,249.9,206.4,285
2064,253.6,212.1,289.8,256.5,197.8,304
2065,251.2,202.8,307.1,259.3,207.1,310.9
2066,252,212.1,315.2,255.8,219.8,290.8
2067,253,209.2,289.2,253.5,208.2,304.2
2068,249.4,195.8,292.3,258.9,223.8,298.9
2069,253.7,214.7,306.5,260.7,202.9,301.5
2070,254.8,219.2,299.4,257.1,206.4,320.7
2071,252.8,217.5,302.1,260.4,210.3,304.2
2072,260.9,211.2,302.2,265.7,225.7,323.6
2073,246.2,212.7,288.3,260.1,202.7,315.3
2074,258.8,224.6,295.4,261.7,230.2,297.6
2075,258.7,218.1,314,262.9,218.3,303
2076,257,192.7,303.5,257.3,221.5,310.4
2077,251,225,293.3,256.1,211.9,322.5
2078,252.9,201.6,282.4,257.9,217.9,311.6
2079,251.3,207.3,291.5,260.3,203.8,305.6
2080,252,187.5,290.6,257.5,222.2,322.4
2081,251.4,203.6,295.4,257.3,203.4,308.7
2082,257.1,212.3,307.5,259.1,219.6,319.3
2083,257.6,221.5,293.2,263.1,202.4,312.4
2084,247,204.2,305.7,265.4,214,307.1
2085,250.6,210.1,287.5,261.4,212,311.7
2086,252.1,206.9,288.3,254.9,214.6,307.7
2087,257.3,214.2,296.5,258.8,208.4,310
2088,251.7,206.1,289.4,262.7,180.8,304.5
2089,254.5,212.2,298.3,256.2,215,295.4
2090,253.6,201.9,291.6,261.3,225,308.7
2091,259.5,196.9,300.4,254.5,218.9,302.8
2092,258.7,207.1,317.7,263,223.1,308.6
2093,256.8,194.7,303.6,257.5,216.4,307.2
2094,252.6,205.5,304.2,264.1,202.2,317.9
2095,253.7,217.9,303.7,260.6,211.3,314.4
2096,252.4,201.2,291.2,263.4,218.4,311.9
2097,245.3,199.2,307.3,252,204.9,301.2
2098,246.9,198.5,291.9,263.8,218.1,298.4
2099,249,192.6,304.1,259.3,214.5,309.1
