year, rcp45_weighted_mean, rcp45_min, rcp45_max, rcp85_weighted_mean, rcp85_min, rcp85_max
2005,32.53,16.78,56.47,32.53,16.78,56.47
2006,32.49,13.59,59.31,30.5,15.71,57.23
2007,30.29,16,47.93,31.53,17.22,57.47
2008,33.34,15.17,50.22,32.68,16.61,56.7
2009,32.52,17.36,49.58,35.63,18.63,60.85
2010,34.95,13.72,52.32,33.71,16.34,59.8
2011,29.12,13.71,53.16,31.03,14.61,47.09
2012,34.08,14.42,59.8,36.95,17.12,55.93
2013,30.96,17.06,51.7,31.82,14.03,55.11
2014,33.67,19.46,46.36,30.84,19.18,54.17
2015,34.37,15.38,55.44,32.21,17.48,54.46
2016,28.92,11.63,43.01,31.49,21.37,42.73
2017,31.63,14.6,51.86,31.41,13.07,47.95
2018,32.77,16.43,56.18,30.09,16.57,52.28
2019,32.92,11.85,50.92,29.35,14.41,46.65
2020,32.7,15.46,49.68,31.15,10.69,56.48
2021,31.81,17.47,50.61,32.83,13.72,59.19
2022,28.73,10.56,50.27,31.62,15.8,49.37
2023,29.07,12.37,59.57,31.05,19.25,47.29
2024,32.5,18.77,45.79,33.46,15.51,54.75
2025,30,15.18,50.46,32.13,16.37,63.28
2026,30.09,16.35,67.91,32.5,19.25,60.02
2027,31.81,15.56,47.95,30.96,18.23,50.89
2028,32.08,20.93,47.2,30.38,15.14,49.67
2029,31.13,17.99,56.15,35.09,19.25,54.39
2030,30.94,11.15,57.4,28.89,13.7,49.85
2031,31.46,13.21,56.67,28.63,13.74,43.53
2032,32.22,15.76,45.56,30.86,19.75,44.73
2033,31.96,16.56,58.74,30.96,19.77,52.01
2034,28.55,14.5,47.35,31.43,15.02,49.27
2035,27.97,13.82,54.62,31,9.89,52.21
2036,30.48,15.86,50.43,32.4,15.14,61.03
2037,31.87,17.29,53.44,32.35,17.87,53.28
2038,33.08,16.99,50.83,32.92,16.68,54.73
2039,27.15,13.27,56.14,28.24,13.06,49.06
2040,33.64,16.73,65.5,31.2,19.62,43.96
2041,30.82,14.08,49.87,34.55,20.4,50.2
2042,29.11,16.07,57.39,30.55,11.77,49.04
2043,32.59,4.36,51.21,32.02,17.11,60.66
2044,32.81,16.94,57.48,30.86,15.84,52.66
2045,31.27,17.43,48.94,31.34,16.44,57.59
2046,29.61,15.87,47.38,32.89,17.06,62.07
2047,31.14,17.56,54.46,30.03,18,50.07
2048,34.39,19.29,60.33,31.9,16.06,51.3
2049,29.03,12.37,57.2,29.4,11.94,56.78
2050,32.46,12.13,53.33,30.27,15.78,54.97
2051,33.04,13.71,56.24,30.06,13.87,59.98
2052,33.11,16.26,47.85,30.38,16.28,55.51
2053,31.34,14.82,53.5,32.06,15.99,62.54
2054,35.56,16.38,52.05,32.71,15.37,54.6
2055,28.81,14.22,60.28,31.03,16.87,50.13
2056,32.59,18.02,53.05,33.32,13.79,48.87
2057,30.5,14.64,41.82,33.11,16.58,49.43
2058,30.61,14.08,54.32,30.65,13.42,51.62
2059,30.92,15.24,53.53,29.59,12.99,47.78
2060,31.43,18.39,47.82,29.95,10.81,49.17
2061,32.37,14.14,58.3,30.58,13.91,45.22
2062,32.55,20.39,56.76,31.54,16.55,52.96
2063,31.91,17.82,50.99,33.24,18.36,51.55
2064,28.67,13.11,46.38,30.26,12.88,57.28
2065,32.03,16.84,49.9,30.74,17.52,50.44
2066,31.12,11.21,52.79,31.58,14.29,52.14
2067,32.36,16.96,53.98,32.8,15.39,64.23
2068,32.13,16.29,52.75,30.82,17.54,47.78
2069,33.63,18.93,49.23,28.96,12.4,95.8
2070,32.18,12.62,52.16,30.25,11.96,43.99
2071,31.56,15.23,61.67,28.62,16.93,53.32
2072,28.27,10.36,53.16,29.36,9.14,57.42
2073,33.53,14.46,48.39,29.72,11.5,50.99
2074,29.59,15.38,48.79,27.79,15.67,47.55
2075,29.02,12.51,42.23,29.02,16.04,43.46
2076,29.48,13.41,57.1,32.4,12.01,63.08
2077,32.57,17.47,57.51,31.51,11.16,48.86
2078,33.78,15.19,67.08,30.83,17.49,62.1
2079,33.01,20.27,55.21,30.19,11.54,50.85
2080,31.69,17.48,49.87,34.3,10.37,60.22
2081,32.62,16.26,55.68,31.66,18.7,47.17
2082,29.76,10.84,42.43,29.82,10.15,51.3
2083,29.17,17.53,46.3,27.8,16.42,56.01
2084,34.38,15.65,63.4,29.33,15.85,54.44
2085,32.67,21.64,52.59,29.41,13.74,65.28
2086,32.57,17.13,47.36,33.21,15.31,55.57
2087,27.75,15.42,48.1,30.07,11.61,51.84
2088,31.75,21.65,48.29,28.09,11.56,65.15
2089,29.06,15.5,45.57,29.94,14.72,52.75
2090,32.49,14.28,54.1,29.85,14.26,50.27
2091,29.29,12.95,48.25,33.81,13.62,55.46
2092,31.45,8.51,58.78,26.82,9.84,48.08
2093,30.85,14.92,51.63,31.76,17.33,46.4
2094,30.48,12.53,46.93,26.69,12.08,59.69
2095,31.82,13.62,53.64,28.13,11.76,51.97
2096,31.46,16.78,49.63,28.33,15.54,47.99
2097,33.66,10.79,58.41,35.77,11.74,62.69
2098,33.49,15.53,51.84,26.99,15.53,43.96
2099,32.26,13.82,58.1,30.93,12.86,56.98
