year, rcp45_weighted_mean, rcp45_min, rcp45_max, rcp85_weighted_mean, rcp85_min, rcp85_max
2005,80.5,76.9,82.9,80.5,76.9,82.9
2006,80.3,76.9,84.8,80.4,78,82.7
2007,80.9,78.2,84.6,80.6,76,83.2
2008,80.1,77.7,82.5,80.6,76.6,84.5
2009,80.3,77.1,83.9,80,77.1,83.3
2010,80,77.4,84.1,80.2,75.4,83.6
2011,80.9,77,85.6,80.7,77.5,84.3
2012,80.8,78.2,84.3,80.9,78.1,84.6
2013,80.8,78.2,84.3,80.7,77.3,83.3
2014,80.8,78.1,83.9,80.9,75.9,82.9
2015,81,78.6,84.5,80.7,78,84.1
2016,81.5,78.7,84.6,80.9,77.6,83.4
2017,81.2,78.8,84,81,77.8,84.6
2018,81,78.1,84.6,81.6,77.2,85.8
2019,81.3,78,84.7,81.8,78.9,87.6
2020,81.5,78.1,84.3,81.2,78.6,85.7
2021,81.4,78.8,84,81.4,78.4,84.2
2022,82,77,84.3,81.6,78.2,84.4
2023,81.9,78.1,86.7,81.6,79.6,83.5
2024,81.5,78.1,84.4,81.5,78.3,85.1
2025,81.9,79.9,86.1,81.9,79.6,86.2
2026,82.2,78.5,85.2,82.1,78.1,85.2
2027,81.9,78.6,85.6,81.9,78.9,85.4
2028,82.1,78.4,85.4,82.1,77.9,84.6
2029,82,78.5,85.9,82,78.8,86.1
2030,82.3,78.7,84.9,82.3,79.1,85.3
2031,82.3,77.8,85.4,82.5,79.2,85.7
2032,82.1,78.5,86.2,82.5,78.8,85.2
2033,82,78.8,86.9,82.6,79.4,85.4
2034,82.6,79.5,85.4,82.3,80.1,86.3
2035,83.2,79.7,86.9,82.9,79.6,87.9
2036,82.4,78.1,85.7,82.8,79.3,85.5
2037,82.4,79.4,85.5,82.6,78.2,85.7
2038,82.5,76.9,85.8,82.8,80.6,86.3
2039,83.3,79.8,85.7,83.3,80.9,85.8
2040,82.3,78.8,86.1,83.1,79.7,86.5
2041,82.5,79.2,86.3,82.5,79.6,87.1
2042,82.7,79.5,86.2,83.5,80,86.8
2043,82.5,79.1,87.1,83.1,80.3,86.4
2044,82.4,78.6,84.4,83.5,80.2,86.1
2045,83.2,79.7,89.1,83.6,79.7,88
2046,83.1,80,86.1,83.2,80.8,86.9
2047,83,79.6,88.8,83.4,80.5,86.2
2048,82.5,78.8,86,83.3,79.6,87
2049,83.2,79,86.7,84.2,79.3,88.1
2050,82.9,80.2,86.8,83.9,80.1,87
2051,82.7,79.9,86.7,84.1,79.8,86.9
2052,83.1,79.2,86.6,84.2,81.4,86.6
2053,83,78.6,87.4,84.2,80.5,86.4
2054,82.9,79.9,86.2,83.9,80.5,87.5
2055,83.3,79.9,86.7,84,80,88.8
2056,83.4,78.7,86.6,84.4,79.8,88
2057,83.5,80,87.5,84.2,80.4,87.4
2058,83.4,79.2,88.1,84.8,80.9,88
2059,83.8,79.6,87.6,85.1,82.5,87.6
2060,83.6,81.1,87.5,85,80.4,88.3
2061,83.6,80.6,86.4,85.4,82.3,88.8
2062,83.7,80.3,87.7,85,81.5,88.4
2063,83.2,78.8,87,85,80.9,88.6
2064,83.6,80.9,86.6,85.3,80.2,89.3
2065,83.6,79.3,87.3,85.5,82.2,89.5
2066,83.6,79.7,87.8,85.5,81.7,88.3
2067,83.8,80.5,88.6,85.2,81.6,89.7
2068,83.3,78.4,87.4,85.8,82.1,89.7
2069,83.9,79.7,86.7,86,80.9,91.2
2070,83.7,80.1,86.5,86.6,82.5,91
2071,83.8,79.9,87.7,86.5,83.5,89.8
2072,84,80.4,87.4,86.6,80.7,90.9
2073,83.5,80.6,88.2,86.3,81.4,91.1
2074,83.9,80.7,88.5,86.7,81.5,90.5
2075,84.5,80.9,89.7,86.8,84.4,91.2
2076,83.9,80.6,87.8,86.4,82.9,89.9
2077,84.1,80.4,86.8,86.4,82,92.3
2078,83.9,81,88.2,86.8,81.4,90.6
2079,83.6,79.9,87.1,87.3,84.5,90.7
2080,84,81.1,87.2,86.5,82.2,91.7
2081,83.7,78.6,87.6,87.1,83.6,91.1
2082,84.4,81.8,88.2,87.1,82.4,91.7
2083,84.5,80.9,88.1,87.7,81.3,91.5
2084,84,79.5,87.6,87.3,81.8,91.5
2085,84.1,79.5,87.1,87.7,83.2,90.7
2086,83.8,79.8,87.3,87.7,83.9,91.5
2087,84.5,79.8,87.5,87.8,84.3,92.2
2088,84.1,80.6,88.7,88,82.2,92
2089,84.3,79.9,88.5,87.9,83,91.7
2090,84.1,80.7,88.5,88.1,84.5,92.6
2091,84.6,78.8,90.5,87.9,82.9,91.8
2092,84.5,79.5,88.4,88.7,83,93.1
2093,84.6,80,88.6,88.2,84.7,93.1
2094,84.2,81.5,89,89.3,85,93.2
2095,84.1,80.5,89.2,88.6,82.9,92.4
2096,84.2,78.9,88.3,89,83.8,93.7
2097,83.9,79.3,88.5,88.1,83.5,94.1
2098,84.1,79.8,88.6,88.9,84.8,93.8
2099,84.5,79.8,89.3,88.9,84,93.4
