year, rcp45_weighted_mean, rcp45_min, rcp45_max, rcp85_weighted_mean, rcp85_min, rcp85_max
2005,57.7,55.3,61,57.7,55.3,61
2006,57.6,55.8,61,57.6,55.9,59.1
2007,57.7,54.5,59.9,57.7,55.8,59.8
2008,57.6,55.8,59.6,58,56.3,60.7
2009,57.8,55.8,60.5,57.7,55.6,62.6
2010,57.9,55.2,59.6,57.9,54.6,60
2011,57.8,53.9,60.4,58,55.4,60
2012,58.1,57,60.5,58.2,53.9,59.9
2013,58,56.3,60.1,58,55.6,61
2014,58.2,55.8,60.6,58.3,56.7,60.6
2015,58.3,56.7,61.1,58.2,55.9,60.6
2016,58.4,56.6,61,58.3,56.6,61.2
2017,58.5,56.6,62.1,58.4,56.3,61.1
2018,58.3,55.8,61.8,58.4,56.4,60.3
2019,58.6,56.6,61.8,58.9,56.2,60.8
2020,58.6,56.8,60.9,58.5,56.4,60.6
2021,58.7,55.6,61.9,58.9,55.4,62.1
2022,58.6,56.7,61.4,58.9,55.4,61.9
2023,58.7,55,63.5,58.8,57.2,61.3
2024,58.9,54.8,62.2,59,57,60.5
2025,59.3,57.4,62,59.3,56.5,61.7
2026,59.4,57.2,62.1,59.3,56.4,61.4
2027,59.2,57.5,63.1,59.2,55.3,61.5
2028,59.3,56.9,61.2,59.4,56.4,62.4
2029,58.9,56,61.3,59.2,56.3,61.4
2030,59.1,56.6,61.3,59,56.7,61.4
2031,59.4,57.1,62.8,59.4,57.1,62.5
2032,59.2,55.7,63,59.3,56.8,61.2
2033,59.2,56.4,62.9,59.7,57.8,62.5
2034,59.3,56.4,62,59.2,56.5,61.3
2035,59.6,57.9,62.1,60.1,57.1,65.8
2036,59.6,56.7,62.2,59.9,57.3,62.6
2037,59.4,57.1,61.7,59.8,57.8,62.2
2038,59.4,55.9,61.5,60,57.7,61.8
2039,59.8,56.7,63.4,59.8,57.8,61.7
2040,59.8,57.1,62.4,60,58.1,62.4
2041,59.8,57.5,63.2,60.1,57.2,63.1
2042,59.4,54.9,62.7,60.5,59,63.2
2043,59.9,57.8,63.3,60.2,57.3,62.1
2044,59.7,57.8,61.8,60.6,58,63.2
2045,59.9,56.1,63.8,60.8,58.2,63.1
2046,59.8,57.1,62.3,60.6,58,62.4
2047,60,57.3,63,60.8,58.7,64.2
2048,59.8,57.2,63.6,60.7,57.3,63
2049,59.9,57.6,62.2,61.3,58.2,63.4
2050,59.9,57.4,62.7,61,58.8,63.8
2051,59.8,57.8,62.3,61,58.8,64.4
2052,60.2,56.6,62.7,61,59,63.3
2053,60.3,57.6,64.9,61.2,58.4,63.3
2054,60.5,57.6,62.9,61.2,59.3,63.1
2055,60.1,56.9,62.3,61.3,58.2,65.3
2056,60.6,57.8,63.5,61.9,58.5,63.9
2057,60.5,58.4,63.1,61.8,58.6,63.8
2058,60.2,58.2,63,61.7,59.4,63.9
2059,60.7,57.9,63.1,62.1,59.5,64.4
2060,60.7,57.8,65.4,62.1,59.4,65.2
2061,61,58.2,64,62.2,60.3,65.1
2062,60.8,58,63.7,62.2,59.6,64.3
2063,60.3,57.3,62.5,62.4,59.3,66.2
2064,60.5,56.1,63.4,62.5,60.2,64.7
2065,60.5,58,63.5,62.6,60.6,65.5
2066,60.7,57.1,63.8,62.6,59.6,65.4
2067,60.6,57.6,63.9,62.3,59.3,65
2068,60.5,57.4,63.1,62.6,59.2,67.4
2069,61.1,57.9,63.3,62.7,60.2,65.8
2070,60.5,58,63.8,63.7,60.5,66.6
2071,61.1,57.2,64.1,63.2,60.2,65.5
2072,60.7,58.7,64.9,63.4,58.6,66.6
2073,60.7,56.3,64.6,63.3,59,68.9
2074,60.4,55.4,63.1,63.4,59.3,67.3
2075,60.9,57,64,63.4,60.4,66.9
2076,60.8,58.3,64.1,63.6,59.7,67.1
2077,61.3,58.5,65.8,63.5,60.1,69.9
2078,61,58,63.3,63.6,59,66.4
2079,60.8,57.4,63.6,63.9,59.9,67.2
2080,61.3,58,63.9,63.9,61.6,67.9
2081,60.9,57.5,63.7,64.2,61.1,67
2082,61.2,59,64.9,64.2,61.1,68.5
2083,61.1,57.9,64.3,64,60.4,67.9
2084,61.4,58.9,64.2,64.1,59.9,67.4
2085,60.9,58.6,63.6,64.7,58.8,68.5
2086,60.8,58,64.8,64.9,61,68.7
2087,61.6,59.2,64.7,64.8,61.4,69.4
2088,61.1,59,65.4,64.5,61.5,67.8
2089,61,57.9,64.4,64.8,61.8,69.2
2090,61,58.4,63.8,65.1,61.6,68.8
2091,61.2,58.8,65.4,65.4,61.4,68
2092,61.3,58.1,64.2,65.2,61,70.4
2093,61.3,58.4,63.3,65.2,60.9,68.6
2094,61.3,58.6,63.7,65.8,62,69.9
2095,61.2,58.6,64.3,65.3,60.7,68.9
2096,61.4,58.3,64.2,65.6,61,70.3
2097,61.2,59.3,63.7,65.2,60.9,69.4
2098,61.1,57.6,63.6,65.5,61.5,70.5
2099,61.5,59,65.1,65.9,61.8,69.2
