year, rcp45_weighted_mean, rcp45_min, rcp45_max, rcp85_weighted_mean, rcp85_min, rcp85_max, NOTE: This file contains annual projection values produced by global climate models. Decadal averages of these values (as shown in the Climate Explorer) are a more appropriate temporal scale for using projections.
2005, 27.5,13.1,46.9,27.5,13.1,46.9
2006, 25.3,11.9,45.6,27.9,13.4,47.7
2007, 27.5,15.5,46.1,29,15.1,49.4
2008, 30.2,9.6,61.8,29.7,10.2,52.1
2009, 29.3,10.6,51.9,29.3,15.2,58.9
2010, 27.7,9.6,51.2,32.8,9.6,53.3
2011, 27.1,8.2,54.5,26.3,8.1,51.9
2012, 25.8,4.6,58.5,24.9,8.4,48.7
2013, 30.5,8.5,49,25.6,8.2,48.5
2014, 26.8,6.3,47,29.2,8.1,48.1
2015, 28.3,7.1,65.5,29.4,14.6,49.7
2016, 28.6,13.6,50.3,26.7,6.3,41
2017, 26.9,7.2,48.6,26.7,9.8,58
2018, 28,11.5,53,26.2,11.6,50.9
2019, 23.8,7.2,38.6,25.4,8.4,45.2
2020, 24.2,8,43.3,27.3,8.2,51.1
2021, 26.5,12.3,60.2,26.1,7.9,49.7
2022, 28.2,12.2,49.6,26.7,10.8,51.9
2023, 24.5,9.5,52.1,24.3,7.8,39.1
2024, 25,4.9,52.8,21.7,6.5,40.8
2025, 24.8,6.9,43.1,22.8,8.6,48
2026, 22.8,6.8,41.3,23.3,10,41.3
2027, 24.4,10.7,53.1,29.2,8,55.5
2028, 26.2,10.9,49.2,22.2,10.2,37.2
2029, 26.4,6.6,43,22,7.3,39.9
2030, 23.9,5.1,47.3,24,9.7,46.8
2031, 23.8,9.4,42.7,24.7,10.7,52.1
2032, 22.7,3.6,49.6,24.1,7.7,53.9
2033, 24,6,54,21.3,8,42.9
2034, 24.6,10.9,56.8,24.9,11.1,43.2
2035, 23.3,6,43,22,4.8,51.1
2036, 27,8.1,43.3,22.9,10,55
2037, 24.5,5.8,49.3,21.4,6.9,38.4
2038, 22.8,9.1,39.4,20.1,8.2,35.9
2039, 24.4,8.4,48,19.6,5.4,39.1
2040, 24.7,12.1,44.7,21.8,8.9,48.4
2041, 22.5,5.6,37.1,20.5,4.3,34.8
2042, 24.5,7,46.8,19.1,5.8,39.1
2043, 21.5,5.5,48.9,21.3,4.1,38.9
2044, 20.9,9.4,35.7,19.7,2.4,39.9
2045, 23.1,6,39.6,20.6,7.5,50
2046, 21.3,6.3,42.6,21,8.3,41.7
2047, 23,4.4,48.1,20,6.4,30.5
2048, 22.8,9.7,42.2,19.4,5.6,35.3
2049, 22.1,2.2,40.1,20.5,2.7,40.7
2050, 21.7,5.6,46.8,20.7,5,41
2051, 21.5,4,36.2,17.7,4.6,33.5
2052, 18.6,5.8,42.4,19.8,1.5,42.7
2053, 19.9,6.2,35.3,19.5,4.3,33.7
2054, 16.8,5.1,31.7,19.8,1.8,59.6
2055, 20.7,6.5,42.4,22,3.5,44.5
2056, 22,6.8,44.6,19.3,5.3,34.9
2057, 20.9,8.4,38.9,18.9,3.7,37.8
2058, 20.9,7.5,39.4,20.1,4.7,37.6
2059, 17.7,6.5,38.2,17.1,0.9,32.9
2060, 20.5,5.4,44,16.4,4.8,33.1
2061, 21,4.6,46.8,18.5,3.2,35.1
2062, 19.4,5.6,35.7,16.9,2.8,33.1
2063, 23.5,8.6,41.7,15.9,3.2,35.1
2064, 19.1,3.8,35.7,17.8,4.7,36.1
2065, 21.8,6.4,41.5,16.1,2.9,37.3
2066, 19.2,4.3,38,16.6,2.1,38
2067, 17.8,1.6,37.7,17.9,2.9,42.8
2068, 21.7,4.5,53.9,14.9,2.2,32.8
2069, 19.8,6.3,47.8,14.4,1.3,27.7
2070, 20.9,7.3,44.4,13.8,0.9,28.7
2071, 17.6,3.3,34.4,14.2,4.2,31.5
2072, 19,6.3,33.2,14.2,0.7,31.2
2073, 20,6.9,41.6,17,0.2,34.7
2074, 20.3,2.4,39.8,15.1,3.2,38.5
2075, 18.2,4.4,30.3,13.2,1.2,32.9
2076, 17.1,2.1,33.5,14.6,3,34.5
2077, 19.5,4,44.6,14.5,3.2,31.9
2078, 17.9,2.8,42.1,12.4,1.6,28.9
2079, 21.2,4.3,37.2,13.7,1.8,25.2
2080, 20.9,7.1,41.8,15.5,1.6,40.6
2081, 19.1,2.9,36,13.8,2.3,33.8
2082, 16,3.1,32.6,11.6,1.5,28.5
2083, 20.3,1.3,42.7,12.7,0.2,28
2084, 18.9,2.5,37.9,12.8,0.5,26.5
2085, 18.1,5.1,36.4,15.3,3.6,29.4
2086, 19.5,4.2,41.7,15.1,2.7,31.9
2087, 18.2,2.4,37.8,11.8,2.3,27.2
2088, 19.5,6.4,33.2,13.2,2.6,32
2089, 19.7,0.6,45.3,10.4,0.9,25.5
2090, 19.8,5.2,41.1,11.6,0.6,31.5
2091, 18.6,3.6,35.2,11.7,0.2,35
2092, 17,2.8,42.2,12.3,0.6,24.2
2093, 15.7,4.9,32.9,12.1,0.7,27.4
2094, 20.3,4.9,45.3,10.5,1.9,27.1
2095, 17.9,1.6,40.1,12.2,0.6,29.9
2096, 19.4,5.5,38.4,12.7,1.4,30.6
2097, 20.1,2.4,41.7,12.2,0.7,28.5
2098, 18.2,3.4,37.6,10.9,0.7,26.9
2099, 16.5,0.6,39.8,10.8,0.8,24.9
