year, rcp45_weighted_mean, rcp45_min, rcp45_max, rcp85_weighted_mean, rcp85_min, rcp85_max
2005,9.4,3.4,19.4,9.4,3.4,19.4
2006,10.4,1.9,23.7,10.7,2.8,23.7
2007,8.2,1,17.9,10.3,3,19.9
2008,9.4,1.2,19.2,10.3,2.9,20.7
2009,9.9,2.6,24.1,10.9,2.3,21.7
2010,9.9,1.9,21.1,10.3,2.6,21.8
2011,11.2,3.8,22.2,10.7,3,24.9
2012,12.7,4.4,23.3,12.5,4.2,25
2013,10.5,1.8,21.8,11.2,0.1,22.2
2014,10.9,1.2,23.2,12.4,2.7,25.8
2015,10.3,3.3,23.3,11.5,1.9,23.7
2016,11.8,3.7,22.7,11.7,0.7,23.8
2017,12,2.2,25,11.6,4.2,20.9
2018,12,3.9,28.1,12.3,2.1,25.8
2019,12.2,4.2,25.1,12.4,4.6,22.6
2020,11.3,2.6,24.5,13.9,6.6,24.9
2021,12.9,4.1,24.2,12.7,4.5,25.7
2022,15.4,5.1,28.1,14,4.5,29.2
2023,12,3.7,31.5,13.6,4.3,28.5
2024,13,5.2,25.3,13.1,5,24.9
2025,13.9,4.7,30.6,15.9,5.7,30.4
2026,14.4,4.6,27.7,15.2,3.2,31
2027,13.4,3.7,27.9,13.3,5,25.5
2028,13,4.7,28.8,16.3,5.1,33
2029,15.4,5.5,29.8,15.8,5.2,32
2030,13.7,1.5,32.3,15,5.5,32.2
2031,13.6,5,33.7,16.7,6.5,29.3
2032,14.2,4.7,29,16.2,5.1,32.4
2033,15.2,5.8,31.8,18.1,2.2,40.7
2034,17.4,4.4,33.4,17.6,5.1,33.1
2035,17,5.2,41.3,18.7,5.6,36.1
2036,16.2,3.5,36.1,17,7.6,33.6
2037,16.9,6,32.4,19.2,5.9,34.3
2038,16.2,5.5,28.1,19.4,6.5,34
2039,16.7,5.8,31.6,18.3,7.7,33.3
2040,17.3,6.9,42.5,19.8,7.1,43.6
2041,17.8,6.8,41.6,19.2,7.4,36.9
2042,18.4,5.3,33.5,19.7,8.3,39.3
2043,18.7,6.3,43.8,19.6,7.3,42.3
2044,17.3,8.9,32.3,20.4,7.3,38.4
2045,19.3,6.2,40.4,22.4,6.9,49.6
2046,19.4,5.1,56.5,22.4,7.8,43
2047,19.5,3.6,33.1,21.6,6.7,42.5
2048,19.7,7.1,39.9,22.1,7,42.4
2049,18.8,8.2,31.9,23.3,9.6,42.9
2050,20.7,7.4,45.8,23.2,8.5,42.3
2051,19.7,9.3,38.4,23.7,10.3,41.9
2052,20.5,7.6,47.2,24,7.7,58.2
2053,20.2,6.8,41,26.2,9.6,49.4
2054,18.4,5.3,42.9,26.5,6.3,47.2
2055,20.3,6.6,39.4,25.7,9.6,45.1
2056,22.6,7.7,48.5,25.8,12.1,51.8
2057,21.2,7.6,39.1,27.2,5.5,50.1
2058,21.5,8.8,44.2,24.2,9.8,42.5
2059,21.7,7.7,44.1,25.5,9.1,46.7
2060,20.7,6.4,44.7,26.7,9.9,48
2061,21.1,10,45,28.2,14.6,50.4
2062,23,4.7,45.4,29.4,10.9,54
2063,23.6,9.2,44.1,27.8,10.7,51.8
2064,20.2,6.4,38.1,32.1,13.8,76.6
2065,23.2,8.3,51.8,29.9,10.7,49.1
2066,21.9,8.7,39.8,31.8,14.5,51.7
2067,22.3,7.3,51.2,32,15,56
2068,22.8,8,40.7,30.7,16,56
2069,21.7,7.2,40.2,31.8,13.6,56.6
2070,22.9,7.9,44.7,32.2,11.7,74.3
2071,23,11.8,49.8,33.3,13.5,56.3
2072,23.3,1.8,41.3,34.5,16.3,64.7
2073,22.7,10.1,42.5,35.8,17.7,63.9
2074,23.2,8.2,56.1,35.2,21.2,57.7
2075,25.4,10,56.8,34.3,13.6,73.8
2076,23.9,10.6,47.4,34.9,18.3,74.2
2077,23.7,8.4,45.4,36.4,20.7,62.6
2078,24.7,10.7,43.9,36.9,13.2,74.6
2079,24,8.4,48.1,38.1,18,68.6
2080,23.5,11.1,43.4,39.3,20.7,83
2081,23.8,8.4,55.3,37.8,19.7,69.2
2082,23.4,11.9,45.6,39,18.8,79.8
2083,25.2,9.9,57,38.9,18.6,75.8
2084,25.4,9.1,62.6,39.3,18.6,76
2085,24.7,11.6,45.3,38.2,14.8,71.5
2086,24.2,11.2,45.9,38.8,19.5,74.4
2087,22.9,10,47.6,40.7,18.1,74.5
2088,25.2,10.2,46.2,39.4,18.7,74.7
2089,24.4,5.9,57.2,42.6,22.9,96.7
2090,23,9.2,50.4,47.9,24.3,110.5
2091,28,11.3,49.4,42.2,21.3,71.6
2092,27.3,11.2,55.7,46.2,25,90.6
2093,23.3,12.4,39.4,43.1,23.5,70.1
2094,25.4,10.6,43.8,46.9,26.3,84.8
2095,27,7.7,61.5,41.8,22.4,66.7
2096,24.4,7.7,42.3,47.8,23.2,85.5
2097,26.6,11.9,59.7,46,23.8,84.1
2098,25.9,6.4,59.9,50.6,28.4,84.5
2099,23.9,8.9,54.9,46.7,23.4,95.5
