year, rcp45_weighted_mean, rcp45_min, rcp45_max, rcp85_weighted_mean, rcp85_min, rcp85_max
2005, 18.4,5.14,45.73,18.4,5.14,45.73
2006, 14.91,2.99,36.76,16.36,4.27,34.76
2007, 16.02,3.46,38.59,13.73,5.01,37.15
2008, 16.13,4.46,31.21,18.37,4.75,50.31
2009, 17.58,5.88,35.38,16.96,6.09,44.55
2010, 17.14,3.93,44.05,15.51,4.97,38.11
2011, 14.96,3.39,32.55,13.51,4.15,27.59
2012, 15.13,5.23,33.11,17.06,3.01,28.96
2013, 17.36,3.7,32.33,16.35,6.98,32.75
2014, 20.12,5.35,56.29,18.97,4.7,40.01
2015, 17.72,4.07,37.15,16.49,4.59,31.79
2016, 17.09,3.78,38.97,20.24,7.2,58.78
2017, 16.26,1.77,40.4,18.04,6.5,43.2
2018, 18.75,4.85,48.2,18.3,5.65,36.3
2019, 14.44,3.16,29.12,14.97,4.36,35.88
2020, 15.5,6.37,30.44,16.12,6.48,31.18
2021, 13.61,3.31,37.2,16.67,3.7,44.55
2022, 16.36,6.16,40.82,17.39,6.71,50.43
2023, 17.1,2.73,37.5,15.87,2.17,30.4
2024, 17.39,1.88,43.9,15.12,6.77,34.36
2025, 20.42,5.84,43.19,17.22,3.81,36.32
2026, 15.46,2.6,44.91,20.16,7.41,43.85
2027, 17.11,5.29,32.44,19,6.04,41.09
2028, 17.1,4.99,37.04,18.08,4.63,38.89
2029, 17.3,4.07,42.31,19.28,4.93,42.78
2030, 16.12,5.59,31.76,16.19,2.22,40.93
2031, 16.01,2.3,27.44,18.01,3.78,42.67
2032, 16.93,4.46,31.21,18.58,5.75,33.8
2033, 16.56,6.01,52.15,19.25,5.49,39.38
2034, 16.68,2.9,30.62,15.8,3.73,30.48
2035, 17.23,6.13,29.92,14.58,3.81,28.8
2036, 15.85,3.79,35.32,18.28,4.69,37.48
2037, 19.34,4.87,40.27,13.82,5.88,28.5
2038, 16.66,5.29,43.76,17.78,4.67,31.2
2039, 15.57,6.26,47.66,16.18,2.58,39.54
2040, 15.66,3.09,29.5,16.04,2.79,34.61
2041, 13.61,3.45,29.3,17.01,2.98,36.01
2042, 15.29,4.88,34.24,15.68,3.18,34.59
2043, 17.74,6.1,43.99,18.88,3.71,45.71
2044, 20.63,2.72,51.44,18.74,7.85,43.73
2045, 13.96,3.48,30.01,14.63,3.42,31.95
2046, 12.85,4.03,32.14,16.7,4.99,43.09
2047, 16.16,4.41,34.07,17.02,5.37,43.3
2048, 15.69,4.23,30.78,17.73,4.68,42.86
2049, 15.46,5.14,31.94,13.84,2.88,34.38
2050, 16.05,3.83,37.56,17.14,4.98,40.84
2051, 15.84,5.56,35.39,17.37,5.28,36.41
2052, 18.53,5.29,40.73,17.68,5.54,35.87
2053, 18.37,4.75,45.1,15.87,4.34,30.67
2054, 17.82,3.34,40.82,14.9,4.29,27.91
2055, 18.58,4.3,38.4,16.57,4.9,33.01
2056, 14.72,3.59,34.53,14.85,0.76,26.84
2057, 14.89,3.78,33.89,18.07,4.8,36.85
2058, 13.8,3.62,34.71,18.01,4.07,44.52
2059, 15.98,3.79,31.69,17.76,4.16,35.65
2060, 18.39,7.46,32.78,16.2,4.17,33.57
2061, 17.55,5.48,48.58,17.93,3.27,32.69
2062, 15.13,1.72,35.74,15.04,2.72,35.23
2063, 16.92,3.58,38.27,18.89,3.4,53.49
2064, 16.64,4.94,43.36,14.88,4.27,38.75
2065, 15.13,3.4,34.48,15.12,3.84,31.07
2066, 15.68,4.26,29.47,17.61,5.88,35.55
2067, 18.71,5.58,43.61,17,3.07,57.26
2068, 16.76,3.41,35.23,16.44,4.24,47.21
2069, 16.3,4.49,41.07,15.9,3.2,32.72
2070, 18.37,7.61,29.35,17.25,3.75,36.16
2071, 15.5,5.64,31.67,18.86,2.33,40.46
2072, 15.83,4.62,33.24,18.07,2.31,59.74
2073, 18.13,4.61,35.13,16.28,6.29,43.19
2074, 17.8,2.61,38.19,17.04,4,43.14
2075, 14.59,2.54,39.57,16.53,2.67,43.68
2076, 16.87,2.66,48.04,16.41,1.23,38.37
2077, 19.75,3.74,36.65,17.92,5.79,33.8
2078, 18.79,4.37,39.01,13.34,2.54,33.58
2079, 15.85,4.9,30.33,17.16,3.42,43.31
2080, 17.63,4.08,45.93,17.23,4.66,45.49
2081, 16.26,4.03,34.99,15.27,4.76,36.01
2082, 17.37,5.57,37.25,15.94,1.95,44.71
2083, 14.84,5.17,32.08,17.36,2.79,46.01
2084, 19.03,6.95,38.53,18.02,2.16,41.6
2085, 16.1,4.08,38,16.15,2.38,48.18
2086, 14.32,4.68,41.85,15.56,4.6,36.67
2087, 16.11,3.46,34.28,18.43,3.23,37.49
2088, 19.25,2.66,41.2,15.18,4.47,41.27
2089, 18.51,5.78,41.73,15.7,4.61,44.37
2090, 19.06,1.49,40.18,19.34,5.33,51.87
2091, 16.7,2.04,51.93,17.28,2.91,32.85
2092, 16.61,4.62,30.85,16.68,3.34,35.98
2093, 14.81,4.02,31.93,17.17,3.78,45.64
2094, 13.03,3.31,36.4,15.56,3.57,31.79
2095, 15.87,3.28,35.86,17.01,2.9,63.64
2096, 19.56,6.46,40.83,15.36,2.24,37.34
2097, 15.45,4.04,34.85,17.28,4.24,40.13
2098, 18.54,4.87,39.63,17.69,2.24,43.58
2099, 17.22,5.5,58.59,16.84,3.88,41.93
