year, rcp45_weighted_mean, rcp45_min, rcp45_max, rcp85_weighted_mean, rcp85_min, rcp85_max
2005, 49.2,47.6,51,49.2,47.6,51
2006, 49.4,47.3,52,49.4,47.8,51.4
2007, 49.5,47,51.6,49.5,47,51.4
2008, 49.4,47.2,51.5,49.4,47.5,51.4
2009, 49.5,47.4,51.1,49.6,48.1,52.2
2010, 49.4,47.3,51.6,49.5,47.6,51.4
2011, 49.6,47.8,51.7,49.8,48.1,51.4
2012, 50,48.2,51.8,50.1,48.5,51.9
2013, 49.8,47.5,52.3,49.8,47.5,51.3
2014, 49.8,47.5,52,50.1,48,52.5
2015, 50.1,47.8,52.6,50.2,47.3,52.4
2016, 49.8,47.8,51.4,50.2,48.5,52.5
2017, 50,47.4,52.9,50.3,48.5,52.1
2018, 50.1,48.1,53,50.5,48,53
2019, 50.3,48.2,52.8,50.3,47.9,52.2
2020, 50.2,48.3,53,50.6,48.5,52.3
2021, 50.2,48.6,53,50.3,47.7,52.4
2022, 50.5,47.9,52.9,50.6,48.3,52.8
2023, 50.3,48.5,52.6,50.4,48.4,53.1
2024, 50.4,48.4,52.9,50.7,48.7,53.1
2025, 50.3,48.4,52.3,50.9,48.9,53.4
2026, 50.7,48.1,53.9,50.9,49.1,54.1
2027, 50.5,47.7,52.7,50.6,48.8,53.7
2028, 50.4,48.7,53,51.1,48.9,53.8
2029, 50.7,48.7,52.8,51,49.1,53.1
2030, 50.7,47.9,53.1,51.1,49.4,54.2
2031, 50.6,48.4,53.1,51.2,48.6,53.9
2032, 51.1,48.7,53.4,51.1,48.2,53.3
2033, 50.9,48.6,53.1,51.3,48.7,53.7
2034, 51.1,48.3,53.8,51.2,49,54.3
2035, 51.1,49.2,52.7,51.7,49.3,53.4
2036, 51,48.8,54,51.5,49.2,54.4
2037, 51.2,49.1,53.6,51.9,48.6,54
2038, 51.2,49,53.8,51.8,49.3,55.2
2039, 51.2,49.6,53.2,51.7,48.5,54.1
2040, 51.2,49.3,53.4,51.8,49.2,54.1
2041, 51.6,49.1,54.3,51.9,50,54.2
2042, 51.5,49,54,52.3,50,54.6
2043, 51.9,49.7,53.7,52.1,49,54.2
2044, 51.6,49.1,54.7,52,49.4,54.9
2045, 51.5,48.9,54.1,52.5,50,55.2
2046, 51.6,49.4,55,52.4,49.4,55.8
2047, 51.7,49.2,54.8,52.5,50.2,55.2
2048, 51.7,49.2,54.7,52.8,50.7,55
2049, 51.7,49.2,54.5,52.9,50,56.2
2050, 51.9,48.8,54.2,52.9,49.8,54.6
2051, 52.1,48.6,54.2,53,50.6,55.4
2052, 52.2,49.4,55.6,53.3,50.1,56.1
2053, 52.3,49.8,54.5,53.3,50,56
2054, 52.5,50.2,55.2,53.2,50.2,56.3
2055, 52.3,49.5,55.2,53.3,51.3,55.6
2056, 52,49.6,54.5,53.5,51,56
2057, 52.1,49.5,55.6,53.7,50.8,57
2058, 52.5,50.1,55.8,53.6,50.8,57
2059, 52.7,49.7,55.5,53.8,51.3,57.4
2060, 52.2,49.4,54.5,53.9,51.4,56.9
2061, 52.3,50,55.6,54,51.3,57.1
2062, 52.6,49.2,55.9,54.2,51.2,57.1
2063, 52.5,50,55,54.1,51.6,56.8
2064, 52.5,49.8,54.9,54.3,50.3,57.1
2065, 52.6,50.6,55.1,54.5,52.2,57.1
2066, 52.7,49.2,55.1,54.6,51.9,57.1
2067, 52.6,49.8,54.9,54.5,51.3,59.1
2068, 52.2,48.6,55.2,54.5,51.4,57.2
2069, 52.7,49.5,56.2,54.8,52,58.1
2070, 52.5,49.6,55.6,55,51.6,57.8
2071, 52.6,49.9,55,54.9,52,58.1
2072, 53.1,49,56.1,55,52.1,58.7
2073, 52.7,49.6,55,55,51.8,58
2074, 52.8,49.4,56.1,55.2,52.1,58.2
2075, 52.8,49.9,56.5,55.3,52.1,58.3
2076, 53.2,50.5,56.2,55.6,52.3,58.6
2077, 52.9,49.5,55.6,55.5,52.2,58.8
2078, 53.1,49.6,56,56,52,60.3
2079, 53,49.9,56.5,55.8,53.4,59.2
2080, 52.6,49.3,55.8,55.6,52.5,59.1
2081, 52.9,49.9,55.8,55.9,53,60
2082, 53.2,50,55.6,56.1,52.3,60
2083, 52.9,49.1,56.2,56.1,52.5,59.7
2084, 53.1,50,56,56.5,53.1,59.6
2085, 53.1,49.7,56.1,56.2,52.8,61.3
2086, 53.1,49.6,55.4,56.1,52.5,59.5
2087, 53.1,50.3,56.4,56.3,52.9,60.3
2088, 53.3,50.7,55.3,56.6,52,59.6
2089, 53.2,49.9,56.1,57,54.1,60.5
2090, 53,50.4,55.3,57.2,53.5,60.2
2091, 53.4,50.7,56.5,57,52.5,59.9
2092, 53.3,50.2,55.8,57.1,53.5,61.1
2093, 53,50.4,55,57.1,54.2,60.6
2094, 53.1,50.4,55.6,57.4,52.9,61.4
2095, 53.2,49.9,55.6,57,52.8,60.6
2096, 53.1,50,55.7,57.6,53.8,60.5
2097, 53.4,49.9,56.1,57.4,53.9,59.8
2098, 53.2,50.3,57.5,57.7,54.6,61.3
2099, 53.3,49.7,56.3,57.6,53.6,60.8
