year, rcp45_weighted_mean, rcp45_min, rcp45_max, rcp85_weighted_mean, rcp85_min, rcp85_max
2005, 98.6,76.3,116.9,98.6,76.3,116.9
2006, 99.9,72.5,137.3,99.1,76.4,127.6
2007, 100.2,81,121.7,99.1,74.9,121.2
2008, 100.9,82.1,132.9,101.6,71.9,128.4
2009, 101.2,68.9,143,100.4,73.9,128
2010, 104.1,82.6,125.3,101.8,68,130.4
2011, 101.3,69.8,132.1,103,77.3,129.7
2012, 104.9,81.6,128.6,105.1,79.1,131.4
2013, 105,77.7,130.9,104.8,73.5,132.4
2014, 104,77.3,125.2,103.3,76,142.8
2015, 102.6,82.3,121.9,104.5,79.6,126.9
2016, 104.6,76,139.1,102.5,76.7,130.3
2017, 103.9,79.3,126.2,103.9,79.2,138.5
2018, 105.6,69.7,135.9,107,73.9,135.8
2019, 108.8,84.5,135.7,105.5,79.9,134.7
2020, 105.5,82.1,136.5,112,85.8,137.5
2021, 107.3,86.4,131.1,108.2,85.6,133.6
2022, 111.6,76.9,142.4,111.7,77.5,137.6
2023, 108.6,81.9,129.6,107.7,78.8,130.8
2024, 110.3,81.5,138.5,110.8,83.6,131.6
2025, 109.4,85.4,137.5,111.4,80.3,140.3
2026, 109.5,83.4,136.4,113.9,89,138.9
2027, 110.6,85.2,139.4,111.8,78.8,133.3
2028, 110.3,87.4,133,115.2,80.2,142.7
2029, 110.5,86.1,151.5,111.2,83.7,139.1
2030, 111.7,86.4,154.7,113.2,90.5,137
2031, 110.5,82.9,142.3,117,89.7,146
2032, 115.8,89.6,144.6,111.6,84.4,140.3
2033, 111.1,87.1,141.5,117.6,93.8,149.1
2034, 113.9,84.8,149,117.8,76,147.5
2035, 119.4,91.4,153.8,119.3,87.6,155.2
2036, 116.9,87.5,149.6,116.7,92.1,141.6
2037, 112,80,137.8,124.3,99,148
2038, 117.6,80.3,143.2,119,96,148.3
2039, 117.5,87.4,155,120.6,93.5,144
2040, 117.3,93.3,151.9,124.9,96.7,160.1
2041, 121.9,94,151.3,124,92.9,155.8
2042, 115.7,87.3,152,125.8,97.8,159.2
2043, 121.5,80.3,145.9,125.3,101.4,159.4
2044, 116.2,93,151.8,125.4,92.9,150.7
2045, 124.3,100.3,155.5,127.3,96.7,153.6
2046, 122.8,97.4,145.3,125.1,97.5,150.7
2047, 123.9,101.9,151.2,126.9,101.7,150.6
2048, 119.9,87.2,147.3,127.7,93.7,156.2
2049, 123.7,97.8,150.2,130.6,94,168.2
2050, 123.2,98.3,160.4,134.4,105.6,163.5
2051, 123.1,95.4,153.7,132,102.6,158.8
2052, 120.3,87.7,146.9,132.9,107.7,170.1
2053, 123.7,95.2,145.9,132.3,105.8,164.9
2054, 122.8,91.8,150,134,110.4,162.6
2055, 125.9,92.2,148.9,136.7,102.8,172.6
2056, 127.7,99.7,157,134.1,96,176.2
2057, 126.2,92.9,159.7,136.7,113,163.3
2058, 124.5,94.8,160.1,135.2,113.4,162.1
2059, 125.9,100.8,166.1,135.5,110.7,158.6
2060, 124.1,100.3,156.1,138.3,107,166.6
2061, 126.9,89.3,153.9,138.5,117.1,174.7
2062, 127.9,88.5,162,142.1,120.2,174
2063, 128.6,100.8,158,141.7,119.9,162
2064, 125.8,98.8,157.9,143.6,121.3,182.3
2065, 129.9,100.9,171.4,140.3,116.2,173.4
2066, 128,95.2,156.6,139.1,114.9,170.4
2067, 127.5,96,162,140.7,117,176.2
2068, 127.4,93.8,158.7,144.1,121.2,174.8
2069, 129.8,96.6,160,144.7,112.3,191.6
2070, 127.8,100.3,151.1,145.6,116.8,185.1
2071, 127.5,96,165.7,143.1,114.8,170.2
2072, 132.4,82.6,165,146.2,116.3,188.6
2073, 125.4,97.5,172.2,148.8,122.7,188.1
2074, 128.3,96.8,166.1,146.7,118.8,177.7
2075, 129.9,102.1,166.3,147.5,122.6,178.8
2076, 131.1,106.2,162.5,146.6,120.7,182.3
2077, 130.4,97.5,160.3,151.5,120.7,179.9
2078, 127.8,100.4,154.3,150.7,121.3,206.3
2079, 130.5,95.4,172.2,151.3,124.8,195.8
2080, 129,99.6,167.7,150.9,124.8,188.7
2081, 130.5,96.8,170.1,154.2,127.9,183.7
2082, 127,100,159.8,157.1,129.5,199.2
2083, 133.2,100.8,170,154.9,113.1,184.9
2084, 131.7,103.5,171.1,157.4,121.6,199
2085, 134.4,106.3,164.3,154.7,128.9,192.4
2086, 131.7,103.5,162.8,158.2,130.6,186.6
2087, 132.7,98.2,164.6,156.7,127.8,189
2088, 132.9,101.9,161.9,160,134.8,202.6
2089, 133.5,103.2,170.9,158.5,130,197.9
2090, 129.8,98.2,154.8,167.5,139.4,211.3
2091, 134.7,100.4,170.3,159.7,129,199.6
2092, 132.9,101,174.2,159.5,130.3,195.3
2093, 132.1,103.3,166.9,162.3,121.5,191.9
2094, 131.9,99.1,167.2,166.1,134.8,206.5
2095, 134.4,107.1,173.3,161.8,127.8,191.1
2096, 132,104.8,157.1,166,134.5,207.5
2097, 135.4,112.4,196.2,163.3,137.4,191.7
2098, 132.9,100.8,172,165.4,143.2,198.3
2099, 136.6,103.2,174.9,163.1,127.9,201.9
