year, rcp45_weighted_mean, rcp45_min, rcp45_max, rcp85_weighted_mean, rcp85_min, rcp85_max
2005, 86.2,83.9,89.3,86.2,83.9,89.3
2006, 86.6,84.2,90.5,86.3,84.7,88.2
2007, 86.6,83.9,88.9,86.5,84.5,88.6
2008, 86.3,84.1,89.2,86.4,82.8,88.7
2009, 86.7,85,90,86.4,83.7,88.6
2010, 86.7,84.3,88.7,86.4,83.9,88.5
2011, 87,84.7,89.6,87,84,90.2
2012, 87.4,85.1,89.3,87,84.8,90.1
2013, 86.5,82.9,90,86.8,84.8,89.4
2014, 86.4,84.2,87.9,86.7,83.6,90
2015, 87.1,85.4,89.2,86.9,84.5,89.7
2016, 87,84.6,89.2,86.8,85.4,88.7
2017, 87.1,84.9,89.3,87,85.3,90.5
2018, 87.1,84.8,90.1,87.3,85,89.5
2019, 87.7,85,90.8,87.2,84.9,90.3
2020, 87.5,84.9,90.3,87.8,85.5,90.6
2021, 87.4,85.4,89.6,87.2,84.7,90.1
2022, 87.6,84.6,89.8,87.7,85.7,90.5
2023, 87.5,84.6,90.1,87.3,85,91
2024, 87.8,85.3,91.4,87.9,85.2,90
2025, 87.2,84.3,89.7,87.8,84.3,90
2026, 88,85.1,90.2,87.8,85.9,90.2
2027, 87.6,85.5,89.4,87.6,84.4,89.5
2028, 87.5,84.5,89.8,88.2,84.9,91
2029, 87.9,85.8,90.6,88,85.7,90.6
2030, 87.8,85.4,91,88.1,85.2,91.3
2031, 87.8,85.6,90.9,88.4,85.6,91
2032, 88,84.2,90.8,88.1,85.8,92
2033, 88.1,86,90.8,88.4,85.5,90.7
2034, 88.1,85.1,91.2,88.6,85.9,92.6
2035, 88.5,85.7,91.7,89.2,85.7,92.5
2036, 88.3,85.8,90.4,88.5,85.2,91
2037, 88.2,85.9,91.8,89.4,87,92.2
2038, 88.5,85.6,91.2,88.8,86.5,91.5
2039, 88.6,86.3,91.6,89,86.4,91.5
2040, 88.4,86.4,90.8,89.1,87.4,93.5
2041, 88.8,85.5,91.7,89.3,86,92.2
2042, 88.7,86.1,92.1,89.8,85.9,93.6
2043, 89,86.3,92.4,89.3,86.4,92.5
2044, 88.3,85.2,91.8,89,85.1,91.3
2045, 89.2,86.1,93.4,89.7,87.5,92.9
2046, 89.3,86.7,92.4,89.7,86.8,92.3
2047, 89.3,86.6,92.5,89.7,87.8,92.1
2048, 88.9,84.9,92.4,89.8,86.4,92.1
2049, 89.1,86.9,91.2,90.3,86.5,94.1
2050, 89.2,85.1,91.9,90.2,87.1,92.8
2051, 89.4,86.6,92.1,90.5,86.3,93.5
2052, 89.3,85.7,92.1,90.4,87.4,95.1
2053, 89.4,87,92.3,90.5,87.7,93.1
2054, 89.6,85.9,92.6,90.7,88.1,93.5
2055, 89.6,86.3,92.4,90.5,86.8,94.4
2056, 89.5,85.5,93.3,90.9,87.2,95.9
2057, 89.7,85.8,93.7,90.8,87.3,94
2058, 90,86.8,93.7,91.1,88.7,94
2059, 90,87.2,94.4,91.2,88.8,94.4
2060, 89.5,85.6,93,91.3,88.4,95
2061, 89.6,86.4,93,91.3,88,94.9
2062, 90,86.8,93.1,91.9,89.4,95.2
2063, 89.7,87.6,92.2,91.7,88,95.7
2064, 89.6,86,94,91.9,88.3,96.8
2065, 90,86,93.8,92,89.2,95.4
2066, 90.1,86.5,93.9,91.8,88.6,95.7
2067, 89.9,85.8,93.3,91.9,88.9,97.7
2068, 89.7,84.9,93.5,92.2,88.7,95.5
2069, 90.2,85.9,92.8,92.5,89.2,98
2070, 89.8,86.8,92.7,92.7,88.5,97.8
2071, 90.2,87.3,93.3,92.4,88.6,96.8
2072, 90.6,85.4,94.5,92.8,89.1,97.2
2073, 89.6,86.9,94.6,92.8,90.5,97
2074, 90,86.2,94.1,92.9,89,96.8
2075, 90.6,87.1,94.3,93,88.8,98
2076, 90.5,88.5,93.8,93,88.8,96.5
2077, 90.1,86.7,93.4,93.1,89.4,96.2
2078, 90.3,86,93.8,93.6,90,99.5
2079, 90.3,85.6,94.2,93.4,90.1,97.9
2080, 89.9,86.6,94,93.1,90.2,98.1
2081, 90.3,86.2,93.8,93.6,90.3,98.5
2082, 90.3,87.2,93.3,94.1,89.7,99.5
2083, 90.5,87,95.2,93.9,90,98.8
2084, 90.2,87.3,94.4,94.4,89.6,98.4
2085, 90.6,87.8,93.4,94,90.5,99.9
2086, 90.6,86.6,93.9,94.3,91.2,98.9
2087, 90.6,86.7,94,94.2,90.6,99.3
2088, 90.4,86.7,94.2,94.5,90.9,100.1
2089, 90.7,86.5,95.1,94.6,91.4,98.9
2090, 90.1,87.1,93.1,95.1,90.8,102.2
2091, 90.7,86,95.5,94.6,91,100.3
2092, 90.7,86.4,94.5,94.9,90.5,101.1
2093, 90.6,86.8,94.4,94.9,91,99.4
2094, 90.7,87.2,94.9,95.7,91.3,101.2
2095, 90.8,87.1,95.9,94.8,89.6,99.9
2096, 90.4,86.1,93.4,95.6,91.8,100.7
2097, 90.9,87.7,95.7,95.1,91.3,99.8
2098, 90.4,87,95.1,95.7,93.1,100.8
2099, 90.9,87.6,96.2,95.5,91.2,102
