year, rcp45_weighted_mean, rcp45_min, rcp45_max, rcp85_weighted_mean, rcp85_min, rcp85_max
2005, 54.7,52.8,57.1,54.7,52.8,57.1
2006, 55.4,52.8,58,55.1,52.8,57.2
2007, 55.3,51.8,57.8,55,51.9,57.4
2008, 55.2,53.3,57.6,55,53.1,57.4
2009, 55.2,52.9,58.2,55.3,53,58.2
2010, 55.3,52.4,58.4,55.2,52.7,57.6
2011, 55.1,52.5,58.9,55.4,52.8,57.7
2012, 55.7,53.2,58.9,55.5,53.1,57.7
2013, 55.7,52.9,58.4,55.5,51.8,57.5
2014, 55.5,52.7,58.7,55.8,52.9,59
2015, 55.5,52,58.2,55.7,52.7,58.3
2016, 55.4,53.1,58.2,55.9,53.6,58.6
2017, 55.6,53,59.3,55.9,53.5,58.2
2018, 55.8,53.4,59.4,56,52.5,58.2
2019, 55.8,53.3,59.5,55.9,53.7,59
2020, 55.6,53.4,58.1,56.3,54,58.8
2021, 55.7,53.3,59.3,55.8,53.2,58.3
2022, 56,53.3,58.4,56.2,53.9,59
2023, 56,53.8,58.9,56.1,54.1,59.3
2024, 55.8,52.1,58.6,56.5,54.2,59.6
2025, 56.5,53.8,59.1,56.5,54.5,58.8
2026, 56.4,53.2,58.4,56.6,54,60.5
2027, 56.2,53.9,59.3,56.3,54,59
2028, 56.2,54,59.8,56.7,54.1,59.3
2029, 56.4,54,58.3,56.3,54,58.4
2030, 56.3,53.1,59.4,56.6,54.8,60.2
2031, 56.3,53.7,58.8,56.9,54.5,60.1
2032, 56.9,53.8,60.3,56.8,53.7,60.3
2033, 56.4,53.7,59.5,56.8,54.5,60.4
2034, 56.7,53.6,59.5,56.9,55,60.5
2035, 56.8,54.3,58.3,57.3,54.2,60.4
2036, 57,54.3,60.2,56.9,53.2,60.2
2037, 56.9,54.7,59.4,57.6,55.2,61
2038, 56.8,53.4,59.2,57.6,54.8,60.2
2039, 56.8,54.6,59,57.5,55,59.7
2040, 56.9,54.2,59.1,57.4,54.2,60.3
2041, 57.4,54.8,60,57.6,54.6,60.9
2042, 57.1,53.5,59.7,58,55.5,60.4
2043, 57.8,54.4,61,57.9,53.6,60.4
2044, 57.1,54.8,60.5,57.8,54.3,60.6
2045, 57.1,53.8,60.2,58.3,55.2,60.8
2046, 57,53.6,60.8,58.3,55.3,61.2
2047, 57.4,54.9,61.1,58.2,54.2,60.9
2048, 57.2,54.1,60.4,58.5,55.8,61
2049, 57.4,53,60.2,58.7,55,61.4
2050, 57.5,53.2,59.9,58.9,56.6,61.2
2051, 58,54.9,60.2,58.9,56.1,61.8
2052, 57.9,54,61,59.1,56.1,61.9
2053, 57.7,54,60.5,59.1,54.1,61.2
2054, 58.1,54.7,61,59.1,54.4,62.6
2055, 58.1,55.4,61.4,59,55.2,62.7
2056, 57.7,52,60.9,59.6,56.9,62.9
2057, 58,52.1,62.7,59.8,56.9,62.8
2058, 58,55.1,63,59.4,56.1,62.7
2059, 58.1,55.3,61.5,59.7,56.1,62.9
2060, 57.9,54.9,60.7,59.4,55.9,62.7
2061, 58.1,53.8,61.8,59.6,56.2,64
2062, 58.3,55.3,62,60.2,57,63
2063, 58.4,55.9,61,60,57.4,62.8
2064, 58.5,54.2,61.5,60.3,56.2,63.6
2065, 58.4,55.9,60.9,60.5,57.2,64
2066, 58.2,55.3,61.6,60.6,57.8,63.5
2067, 58.2,55.6,60.9,60.4,56.2,65.1
2068, 57.8,53.1,61.1,60.4,56.9,63
2069, 58.3,54.7,61.6,60.6,57.5,63.5
2070, 58.3,54.3,62.5,61.4,57.8,64.8
2071, 58.4,55.4,61.8,61,58,65.2
2072, 59,55.1,62.2,61.2,57.2,65.1
2073, 58.4,54.7,61.1,61.4,57.7,65.3
2074, 58.5,55.9,62.6,61.4,57.6,65
2075, 58.7,55.4,62.9,61.2,58.3,64.2
2076, 58.8,55.7,61.8,61.4,58.1,64.6
2077, 58.8,55,62.2,61.5,58.4,64.6
2078, 58.9,55,62.1,61.8,57.3,66.2
2079, 58.8,55.8,63.4,62,58.8,65.5
2080, 58.5,55.1,62.7,61.5,58.3,66.1
2081, 58.5,53.9,62.2,62.1,59.2,66.9
2082, 58.6,55,61.7,62.5,58.5,67.6
2083, 58.5,54.5,61.4,62.3,58.6,65.9
2084, 58.7,55.2,61.2,62.5,58.5,66.5
2085, 58.9,55.1,61.2,62.4,58.6,66.6
2086, 58.7,52.8,61.4,62.6,58.9,67.6
2087, 58.8,55.3,62.1,62.8,59,66.5
2088, 59,56.8,61.6,62.9,58.2,67.2
2089, 59.1,54.8,63.2,63,59.7,66.5
2090, 58.6,55.1,61.8,63.5,59.7,66.6
2091, 59,56.7,61.9,63.3,58.7,67
2092, 59,54.5,61.5,63.3,59.1,67.9
2093, 58.6,55.2,60.9,63.4,59.9,67.7
2094, 58.9,55.3,61.7,63.7,59.5,68.6
2095, 59,55,62,63.4,59.6,67.2
2096, 59.1,53.6,63.3,64,59,69.5
2097, 59.1,55.5,62.9,63.6,58.5,67.2
2098, 59.1,55.8,62.5,64.2,60.8,67.7
2099, 59.2,55.5,62.7,63.9,59.3,67.8
