year, rcp45_weighted_mean, rcp45_min, rcp45_max, rcp85_weighted_mean, rcp85_min, rcp85_max, NOTE: This file contains annual projection values produced by global climate models. Decadal averages of these values (as shown in the Climate Explorer) are a more appropriate temporal scale for using projections.
2005, 55.5,52.6,57.1,55.5,52.6,57.1
2006, 55.9,52.6,59.5,56.2,53.2,59
2007, 55.5,53.6,58.5,55.9,53.2,59.5
2008, 55.8,53.7,58.8,55.6,52.5,58.2
2009, 56.1,53.8,58.4,56.1,53.8,58.7
2010, 56.2,53.2,59.4,55.8,53.3,58.1
2011, 56.2,53.9,58.3,56.1,54.5,58.3
2012, 56.1,53.5,58,56.2,54,59.1
2013, 56,53.6,59.4,56.4,54.6,58.6
2014, 56.1,53.2,57.9,56.6,53.3,59.5
2015, 56.8,54.3,59.9,56.5,54,59.8
2016, 56.1,53.9,58.7,56.8,54,59.3
2017, 56.2,52.9,58.9,56.9,54.6,59.2
2018, 56.5,54.2,59,56.9,53.6,60.1
2019, 56.6,54.2,59.1,56.6,54.2,59.8
2020, 56.6,53.9,59.6,56.9,53.9,58.9
2021, 56.5,53.9,58.8,56.7,53.6,59.4
2022, 56.6,54,59.1,56.4,53,59.3
2023, 56.8,54,60.6,57.3,55,59.6
2024, 56.9,53.9,59.9,57.1,53.5,61.6
2025, 56.7,54.7,59.4,57.3,54.8,59.5
2026, 56.7,53.6,61.1,57.3,55.3,59.6
2027, 56.6,54.3,59.8,57.3,55.3,59.9
2028, 56.6,54.2,58.9,57.4,54.4,61.1
2029, 57.2,54.7,59.4,57.5,54.4,60.6
2030, 57,54.1,59.1,57.5,54.6,60.5
2031, 57.2,54.8,60,57.5,54.2,60.4
2032, 57.3,54,60,57.2,53,61.5
2033, 57.3,54.5,60.5,57.8,53.4,60.9
2034, 57.6,54.3,61.7,57.7,54.7,61.3
2035, 57.5,53.6,60.2,58.1,55.8,61.9
2036, 57.2,54.9,62.1,57.6,54.4,61.2
2037, 57.7,54,62.4,57.9,55.2,60.1
2038, 57.8,55.9,60.2,58.2,55,62.3
2039, 57.3,55,60.1,58.4,55.7,61.7
2040, 57.4,54.2,59.7,58.2,54.4,60.6
2041, 57.8,54.1,62.3,58.3,55.2,63.1
2042, 57.6,55,60.7,58.6,55.8,63.7
2043, 58.2,55.1,60.8,58.6,54.3,64.9
2044, 58.2,55.6,62,58.2,54.5,61.7
2045, 57.7,54.7,61.5,58.8,55.6,62.1
2046, 58,54.2,62,58.5,54.8,61.7
2047, 58.3,55.3,61.2,58.8,54.6,63.6
2048, 58.1,55.5,60.4,58.8,55,61.7
2049, 58.2,53.6,60.8,59.2,56.3,65
2050, 58.6,55.3,62.1,59.4,56.8,63.9
2051, 58.7,56.3,61.3,59.5,56.2,63.3
2052, 58.9,55.7,61.9,59.3,54.5,65.2
2053, 59.2,56.5,62.9,59.8,57.2,64.1
2054, 58.9,55.1,62,59.6,55.2,62.9
2055, 59,55.2,62.3,59.9,57.3,64.5
2056, 58.7,54.8,61.9,59.9,56.7,63.6
2057, 58.6,55.8,62.3,60.2,56.6,64.6
2058, 59.4,55.6,64.4,60.2,56.6,65.7
2059, 59.3,56.1,63.3,60.3,56.9,64.7
2060, 59.1,56.6,62.3,60.6,57.7,66.3
2061, 58.9,55.5,61.7,60.5,56.4,66.1
2062, 59.2,56.1,62.9,60.5,56.6,66.7
2063, 58.8,54.1,65.1,60.5,56.8,67.7
2064, 59.2,55.3,62.7,60.8,56,66.1
2065, 59.2,56.1,63.6,61,57,66.2
2066, 59.2,56.3,62.7,61.2,57.3,66.9
2067, 59.2,55.5,63.1,61.3,57.4,68.2
2068, 58.9,56.3,62,61.1,56.4,65.6
2069, 59.4,56,64.7,61.4,56.8,65.8
2070, 59.2,55.8,65.5,61.4,58.2,66.5
2071, 59.8,57.1,63.8,61.6,57.2,66.4
2072, 59.6,55.4,64.6,61.5,57.7,67.4
2073, 59.5,55.8,64,61.9,57.8,67.5
2074, 59.3,56.3,64.7,61.7,56.9,67.7
2075, 59.3,55.3,64.3,61.9,57.5,66.6
2076, 59.9,57.4,63.6,62.4,58,67.3
2077, 59.4,56.9,63,62.5,57.9,68.6
2078, 59.6,54.4,64.8,62.2,56.9,68.3
2079, 59.8,56.7,65.4,62.4,58.7,68.4
2080, 59.5,56.1,64.7,62.7,58.2,69.3
2081, 59.7,55.6,63.6,62.6,58.2,67.9
2082, 59.7,56.3,63.6,63.1,59.1,68.6
2083, 59.5,55.1,65,63,57.4,68.6
2084, 59.7,56.2,65,62.8,58.8,68.5
2085, 60.1,55,64.8,62.9,59,67.6
2086, 59.8,56.5,63.2,63.1,58.3,67.8
2087, 59.4,55.3,64.1,63.4,58.7,66.9
2088, 59.6,56.4,64.1,63.2,58.1,67.6
2089, 60.2,57,64.2,63.5,59.2,67.9
2090, 59.8,57.2,64.3,63.6,59.8,69.7
2091, 59.8,56.2,66.2,63.9,58.5,69.4
2092, 60,56.9,64.7,63.4,56.9,69.1
2093, 59.5,55.8,62.4,63.8,59.5,68.7
2094, 59.7,54.8,63.4,63.6,59,71.1
2095, 60,56,64.1,63.6,59.9,68.9
2096, 60,56.3,64.2,64,58.6,69.3
2097, 60.2,56.1,65.8,64.2,59.3,69.3
2098, 60.1,56.7,65.2,64.1,58.5,69.6
2099, 60.3,56.3,65.5,64.1,59.7,70.4
